,Unnamed: 0,Actors,Awards,BoxOffice,Country,DVD,Director,Error,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons
11,12,"Glenn Close, Jeff Daniels, Joely Richardson, Joan Plowright",Nominated for 1 Golden Globe. Another 3 wins & 9 nominations.,,"USA, UK",21 Apr 1998,Stephen Herek,,"Adventure, Comedy, Crime, Family","English, Spanish",49.0,"An evil high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.",https://m.media-amazon.com/images/M/MV5BMGI2NTQ2N2EtNDExMS00OWM2LTkzZWItZGUzY2M2MDFjODk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Buena Vista Pictures,G,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",27 Nov 1996,True,103 min,101 Dalmatians,movie,,"Dodie Smith (novel), John Hughes (screenplay)",1996,tt0115433,5.7,"94,686",
15,16,"Jennifer Garner, Mark Ruffalo, Judy Greer, Andy Serkis",11 nominations.,"$54,600,000",USA,07 Feb 2006,Gary Winick,,"Comedy, Fantasy, Romance","English, Portuguese",57.0,"A girl makes a wish on her thirteenth birthday, and wakes up the next day as a thirty-year-old woman.",https://m.media-amazon.com/images/M/MV5BMjE1NzI5NTkwMF5BMl5BanBnXkFtZTYwOTA4NzY2._V1_SX300.jpg,Sony Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",23 Apr 2004,True,98 min,13 Going On 30,movie,,"Josh Goldsmith, Cathy Yuspa",2004,tt0337563,6.1,"153,798",
17,18,"John Cusack, Tony Shalhoub, Len Cariou, Isiah Whitlock Jr.",4 wins & 9 nominations.,"$71,912,310",USA,02 Oct 2007,Mikael Håfström,,"Fantasy, Horror, Mystery",English,64.0,"A man who specialises in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",https://m.media-amazon.com/images/M/MV5BMTk1MDg0NTU0OV5BMl5BanBnXkFtZTcwMTM1NDk0MQ@@._V1_SX300.jpg,MGM/Dimension,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",22 Jun 2007,True,104 min,1408,movie,,"Matt Greenberg (screenplay), Scott Alexander (screenplay), Larry Karaszewski (screenplay), Stephen King (short story)",2007,tt0450385,6.8,"244,563",
18,19,"Robert De Niro, Edward Burns, Kelsey Grammer, Avery Brooks",1 nomination.,"$24,160,216","USA, Germany",14 Aug 2001,John Herzfeld,,"Action, Crime, Drama, Thriller","English, Czech, Russian, Greek, Afrikaans",34.0,A homicide detective and a fire marshal must stop a pair of murderers who commit videotaped crimes to become media darlings.,https://m.media-amazon.com/images/M/MV5BMTI3MzQ1MzIwNl5BMl5BanBnXkFtZTYwMTAxODc5._V1_SX300.jpg,New Line Cinema,R,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",09 Mar 2001,True,120 min,15 Minutes,movie,,John Herzfeld,2001,tt0179626,6.1,"46,912",
19,20,"Bruce Willis, Yasiin Bey, David Morse, Jenna Stern",2 nominations.,"$36,900,000","USA, Germany",13 Jun 2006,Richard Donner,,"Action, Crime, Drama, Thriller","English, Spanish",63.0,"An aging alcoholic cop is assigned the task of escorting a witness from police custody to a courthouse 16 blocks away. There are, however, chaotic forces at work that prevent them from making it in one piece.",https://m.media-amazon.com/images/M/MV5BMTQ1NDEwMzEwMl5BMl5BanBnXkFtZTcwNzM4MTEzMw@@._V1_SX300.jpg,Warner Bros.,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",03 Mar 2006,True,102 min,16 Blocks,movie,,Richard Wenk,2006,tt0450232,6.6,"122,616",
20,21,"Zac Efron, Leslie Mann, Thomas Lennon, Matthew Perry",3 wins & 5 nominations.,"$64,087,443",USA,11 Aug 2009,Burr Steers,,"Comedy, Drama, Fantasy",English,48.0,Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.,https://m.media-amazon.com/images/M/MV5BMjA2NTI1Mzg3N15BMl5BanBnXkFtZTcwMjYwNjAzMg@@._V1_SX300.jpg,New Line Cinema,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",17 Apr 2009,True,102 min,17 Again,movie,,Jason Filardi,2009,tt0974661,6.3,"169,534",
22,23,"Paul Walker, Tyrese Gibson, Eva Mendes, Cole Hauser",4 wins & 13 nominations.,"$127,083,765","USA, Germany",30 Sep 2003,John Singleton,,"Action, Crime, Thriller","English, Spanish",38.0,Former cop Brian O'Conner is called upon to bust a dangerous criminal and he recruits the help of a former childhood friend and street racer who has a chance to redeem himself.,https://m.media-amazon.com/images/M/MV5BMzExYjcyYWMtY2JkOC00NDUwLTg2OTgtMDI3MGY2OWQzMDE2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures Distributio,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '38/100'}]",06 Jun 2003,True,107 min,2 Fast 2 Furious,movie,,"Gary Scott Thompson (characters), Michael Brandt (story), Derek Haas (story), Gary Scott Thompson (story), Michael Brandt (screenplay), Derek Haas (screenplay)",2003,tt0322259,5.9,"236,756",
23,24,"Denzel Washington, Mark Wahlberg, Paula Patton, Edward James Olmos",3 wins.,"$73,500,000",USA,19 Nov 2013,Baltasar Kormákur,,"Action, Comedy, Thriller","English, Spanish",55.0,"Two hardened criminals get into trouble with the US border patrol after meeting with a Mexican drug lord, and then revelations start to unfold.",https://m.media-amazon.com/images/M/MV5BNTQ5MTgzNDg4OF5BMl5BanBnXkFtZTcwMjAyODEzOQ@@._V1_SX300.jpg,Universal Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",02 Aug 2013,True,109 min,2 Guns,movie,,"Blake Masters (screenplay by), Steven Grant (based on the Boom! Studios graphic novels by)",2013,tt1272878,6.7,"185,071",
24,25,"Kirk Douglas, James Mason, Paul Lukas, Peter Lorre",Won 2 Oscars. Another 2 wins & 3 nominations.,,USA,20 May 2003,Richard Fleischer,,"Adventure, Drama, Family, Fantasy, Sci-Fi",English,83.0,"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.",https://m.media-amazon.com/images/M/MV5BODYxOTMyM2EtNzUzNC00Yjg2LTg3MjYtZTIyNjhiYzc1NTlkXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Disney,G,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",20 Jul 1955,True,127 min,"20,000 Leagues Under the Sea",movie,,Earl Felton (screenplay),1954,tt0046672,7.2,"26,637",
28,29,"John Cusack, Amanda Peet, Chiwetel Ejiofor, Thandie Newton",5 wins & 21 nominations.,"$166,112,167",USA,02 Mar 2010,Roland Emmerich,,"Action, Adventure, Sci-Fi","English, French, Tibetan, Mandarin, Russian, Hindi, Portuguese, Latin, Italian, Spanish",49.0,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.,https://m.media-amazon.com/images/M/MV5BMTY0MjEyODQzMF5BMl5BanBnXkFtZTcwMTczMjQ4Mg@@._V1_SX300.jpg,Sony Pictures/Columbia,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '39%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",13 Nov 2009,True,158 min,2012,movie,,"Roland Emmerich, Harald Kloser",2009,tt1190080,5.8,"333,818",
29,30,"Jay Bastian, Joe Biden, Cait Brasel, Gene Burris Jr.",1 nomination.,"$33,349,941",USA,16 Oct 2012,"Dinesh D'Souza, John Sullivan",,Documentary,English,28.0,"A documentary that examines the question, ""If Barack Obama wins a second term, where will we be in 2016?""",https://m.media-amazon.com/images/M/MV5BNzkwMjY3NzMyMV5BMl5BanBnXkFtZTcwNzU4ODEzOA@@._V1_SX300.jpg,Rocky Mountain Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",24 Aug 2012,True,87 min,2016: Obama's America,movie,,"Dinesh D'Souza, John Sullivan, Dinesh D'Souza (books)",2012,tt2247692,5.0,"10,197",
30,31,"Jim Sturgess, Kevin Spacey, Kate Bosworth, Aaron Yoo",1 win & 5 nominations.,"$81,159,365",USA,22 Jul 2008,Robert Luketic,,"Crime, Drama, History, Thriller",English,48.0,"""21"" is the fact-based story about six MIT students who were trained to become experts in card counting and subsequently took Vegas casinos for millions in winnings.",https://m.media-amazon.com/images/M/MV5BMjAyNTU5OTcxOV5BMl5BanBnXkFtZTcwMDEyNjM2MQ@@._V1_SX300.jpg,Sony/Columbia Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '36%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",28 Mar 2008,True,123 min,21,movie,,"Peter Steinfeld (screenplay), Allan Loeb (screenplay), Ben Mezrich (book)",2008,tt0478087,6.8,"216,750",
31,32,"Jonah Hill, Channing Tatum, Brie Larson, Dave Franco",11 wins & 20 nominations.,"$134,000,000",USA,26 Jun 2012,"Phil Lord, Christopher Miller",,"Action, Comedy, Crime",English,69.0,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,https://m.media-amazon.com/images/M/MV5BNTZjNzRjMTMtZDMzNy00Y2ZjLTg0OTAtZjVhNzYyZmJjOTljXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,Sony Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '69/100'}]",16 Mar 2012,True,109 min,21 Jump Street,movie,,"Michael Bacall (screenplay), Michael Bacall (story), Jonah Hill (story), Patrick Hasburgh (television series), Stephen J. Cannell (television series)",2012,tt1232829,7.2,"485,635",
32,33,"Jonah Hill, Channing Tatum, Peter Stormare, Wyatt Russell",7 wins & 24 nominations.,"$154,295,930",USA,18 Nov 2014,"Phil Lord, Christopher Miller",,"Action, Comedy, Crime",English,71.0,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.",https://m.media-amazon.com/images/M/MV5BMTcwNzAxMDU1M15BMl5BanBnXkFtZTgwNDE2NTU1MTE@._V1_SX300.jpg,Sony Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '84%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",13 Jun 2014,True,112 min,22 Jump Street,movie,,"Michael Bacall (screenplay), Oren Uziel (screenplay), Rodney Rothman (screenplay), Michael Bacall (story), Jonah Hill (story), Patrick Hasburgh (television series ""21 Jump Street""), Stephen J. Cannell (television series ""21 Jump Street"")",2014,tt2294449,7.0,"325,994",
33,34,"Brian Kerwin, Charli Barcena, Peyton List, Jane Pfitsch",5 wins & 3 nominations.,"$76,800,000",USA,29 Apr 2008,Anne Fletcher,,"Comedy, Romance",English,47.0,"After serving as a bridesmaid 27 times, a young woman wrestles with the idea of standing by her sister's side as her sibling marries the man she's secretly in love with.",https://m.media-amazon.com/images/M/MV5BMzI5OTM0OTg2MF5BMl5BanBnXkFtZTcwNjAyMTU1MQ@@._V1_SX300.jpg,20th Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",18 Jan 2008,True,111 min,27 Dresses,movie,,Aline Brosh McKenna,2008,tt0988595,6.1,"146,719",
34,35,"Sandra Bullock, Viggo Mortensen, Dominic West, Elizabeth Perkins",1 win.,,USA,05 Jul 2005,Betty Thomas,,"Comedy, Drama",English,46.0,A big-city newspaper columnist is forced to enter a drug and alcohol rehab center after ruining her sister's wedding and crashing a stolen limousine.,https://m.media-amazon.com/images/M/MV5BMDlkMmE5ZTEtNTA0YS00OTBjLTgyYmEtMGExMzJkOTRjNDg4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Columbia Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",14 Apr 2000,True,103 min,28 Days,movie,,Susannah Grant,2000,tt0191754,6.0,"41,673",
36,37,"Robert Carlyle, Rose Byrne, Jeremy Renner, Harold Perrineau",2 wins & 13 nominations.,"$28,586,503","UK, Spain",09 Oct 2007,Juan Carlos Fresnadillo,,"Drama, Horror, Sci-Fi",English,78.0,"Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes according to plan.",https://m.media-amazon.com/images/M/MV5BMjA5NjE2NDI0OF5BMl5BanBnXkFtZTgwNzU0NzQyMTI@._V1_SX300.jpg,Fox Atomic,R,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",11 May 2007,True,100 min,28 Weeks Later,movie,,"Rowan Joffe (screenplay), Juan Carlos Fresnadillo (screenplay), Enrique López Lavigne (screenplay), Jesús Olmo (screenplay)",2007,tt0463854,7.0,"245,828",
37,38,"Kevin Costner, Amber Heard, Hailee Steinfeld, Connie Nielsen",,,"USA, France, Serbia",20 May 2014,McG,,"Action, Drama, Thriller","English, French, German, Serbian",40.0,A dying CIA agent trying to reconnect with his estranged daughter is offered an experimental drug that could save his life in exchange for one last assignment.,https://m.media-amazon.com/images/M/MV5BMzM0MjE0Nzg1N15BMl5BanBnXkFtZTgwODA4ODE4MDE@._V1_SX300.jpg,Relativity Media,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '27%'}, {'Source': 'Metacritic', 'Value': '40/100'}]",21 Feb 2014,True,117 min,3 Days to Kill,movie,,"Adi Hasak (screenplay), Luc Besson (screenplay), Luc Besson (story)",2014,tt2172934,6.2,"83,015",
38,39,"Tom Selleck, Steve Guttenberg, Ted Danson, Nancy Travis",2 wins & 1 nomination.,,USA,02 Apr 2002,Leonard Nimoy,,"Comedy, Drama, Family",English,61.0,Three bachelors find themselves forced to take care of a baby left by one of the guys' girlfriends.,https://m.media-amazon.com/images/M/MV5BMjRkNjMyNWUtMjNjYi00M2FkLTk2ZDYtYjVkMGRmZjY2MzA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Disney,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",25 Nov 1987,True,102 min,3 Men and a Baby,movie,,"Coline Serreau (screenplay ""Trois Hommes et un Couffin""), James Orr (screenplay), Jim Cruickshank (screenplay)",1987,tt0094137,6.0,"44,004",
39,40,"Tom Selleck, Steve Guttenberg, Ted Danson, Nancy Travis",2 wins & 1 nomination.,,USA,02 Apr 2002,Leonard Nimoy,,"Comedy, Drama, Family",English,61.0,Three bachelors find themselves forced to take care of a baby left by one of the guys' girlfriends.,https://m.media-amazon.com/images/M/MV5BMjRkNjMyNWUtMjNjYi00M2FkLTk2ZDYtYjVkMGRmZjY2MzA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Disney,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '75%'}, {'Source': 'Metacritic', 'Value': '61/100'}]",25 Nov 1987,True,102 min,3 Men and a Baby,movie,,"Coline Serreau (screenplay ""Trois Hommes et un Couffin""), James Orr (screenplay), Jim Cruickshank (screenplay)",1987,tt0094137,6.0,"44,004",
40,41,"Tom Selleck, Steve Guttenberg, Ted Danson, Nancy Travis",1 win & 1 nomination.,,USA,02 Apr 2002,Emile Ardolino,,"Comedy, Drama, Family, Romance",English,51.0,"Sequel to 3 Men and a Baby (1987), Mary starts school. Actress mom is now living in the apartment in NYC with the biological dad and 2 honorary dads, who are still actor, architect and cartoonist. Mom's English boyfriend proposes.",https://m.media-amazon.com/images/M/MV5BOGY3NDAzOTMtMjdmZC00ZGExLWJmZWQtYTNiZTYwZDQxMmViXkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_SX300.jpg,Touchstone Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",21 Nov 1990,True,104 min,3 Men and a Little Lady,movie,,"Coline Serreau (screenplay ""Trois Hommes Et Un Couffin""), Sara Parriott (story), Josann McGibbon (story), Charlie Peters (screenplay)",1990,tt0098966,5.4,"21,090",
41,42,"Tom Selleck, Steve Guttenberg, Ted Danson, Nancy Travis",1 win & 1 nomination.,,USA,02 Apr 2002,Emile Ardolino,,"Comedy, Drama, Family, Romance",English,51.0,"Sequel to 3 Men and a Baby (1987), Mary starts school. Actress mom is now living in the apartment in NYC with the biological dad and 2 honorary dads, who are still actor, architect and cartoonist. Mom's English boyfriend proposes.",https://m.media-amazon.com/images/M/MV5BOGY3NDAzOTMtMjdmZC00ZGExLWJmZWQtYTNiZTYwZDQxMmViXkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_SX300.jpg,Touchstone Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",21 Nov 1990,True,104 min,3 Men and a Little Lady,movie,,"Coline Serreau (screenplay ""Trois Hommes Et Un Couffin""), Sara Parriott (story), Josann McGibbon (story), Charlie Peters (screenplay)",1990,tt0098966,5.4,"21,090",
42,43,"Victor Wong, Michael Treanor, Max Elliott Slade, Chad Power",1 nomination.,,USA,03 Jun 2003,Jon Turteltaub,,"Action, Comedy, Family, Sport",English,36.0,"Each year, three brothers visit their grandfather for the summer. He is highly skilled in ninjutsu, and for years he has trained the boys in his techniques.",https://m.media-amazon.com/images/M/MV5BZTU1OGI2OTktZmQ0Yy00ZmQ0LWI3ZTgtNWNlMzFjYWY1YzAwXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,Buena Vista Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '32%'}, {'Source': 'Metacritic', 'Value': '36/100'}]",07 Aug 1992,True,84 min,3 Ninjas,movie,,"Kenny Kim (story), Edward Emanuel (screenplay)",1992,tt0103596,5.3,"19,031",
43,44,"Josh Hartnett, Melissa George, Danny Huston, Ben Foster",13 nominations.,"$39,568,996","USA, New Zealand",19 Feb 2008,David Slade,,"Action, Horror, Thriller",English,53.0,"After an Alaskan town is plunged into darkness for a month, it is attacked by a bloodthirsty gang of vampires.",https://m.media-amazon.com/images/M/MV5BZmE2ODFlZjctOWZlZi00MGVkLTk5NDctYWZmMWQyOTczNjYzXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Sony Pictures/Columbia,R,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '51%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",19 Oct 2007,True,113 min,30 Days of Night,movie,,"Steve Niles (screenplay), Stuart Beattie (screenplay), Brian Nelson (screenplay), Steve Niles (comic), Ben Templesmith (comic)",2007,tt0389722,6.6,"157,993",
44,45,"Jesse Eisenberg, Danny McBride, Aziz Ansari, Nick Swardson",,"$37,100,000",USA,29 Nov 2011,Ruben Fleischer,,"Action, Comedy, Crime","English, German, Spanish",49.0,"Two fledgling criminals kidnap a pizza delivery guy, strap a bomb to his chest, and inform him that he has mere hours to rob a bank or else...",https://m.media-amazon.com/images/M/MV5BMTM5NjM0ODY1NF5BMl5BanBnXkFtZTcwMjk5NjI0Ng@@._V1_SX300.jpg,Sony Pictures,R,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '44%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",12 Aug 2011,True,83 min,30 Minutes or Less,movie,,"Michael Diliberti (screenplay), Michael Diliberti (story), Matthew Sullivan (story)",2011,tt1622547,6.1,"89,143",
45,46,"Jeffery A. Baker, Orion Barnes, Erin Bennett, Kristopher Blount",,,USA,31 Jul 2007,David Padrusch,,Documentary,English,,"In the year 480 B.C., the Greeks and the Persians fight one of the most famous battles in history at a place called Thermopylae. Here, the mighty Persian war machine, which has conquered ...",https://m.media-amazon.com/images/M/MV5BNzFlYzFlY2UtYTRhNi00ODkyLTkyNjEtNGYzMDg1ZDQxNGFiXkEyXkFqcGdeQXVyNzMzMjU5NDY@._V1_SX300.jpg,,,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",,True,91 min,300,movie,,"Alexander Emmert, Matt Koed, David Padrusch",2007,tt0892737,7.5,884,
